date,number of steps,Part-Time Job
2023-04-01,1898,0
2023-04-08,8102,0
2023-04-15,3355,0
2023-04-22,3182,0
2023-04-29,2105,0
2023-05-06,7686,0
2023-05-13,4806,0
2023-05-20,304,0
2023-05-27,7055,0
2023-06-03,416,0
2023-06-10,384,0
2023-06-17,3750,0
2023-06-24,14699,1
2023-07-01,7680,0
2023-07-08,7993,0
2023-07-15,8450,0
2023-07-22,14432,1
2023-07-29,15821,1
2023-08-05,17339,1
2023-08-12,2411,0
2023-08-19,3487,0
2023-08-26,10951,0
2023-09-02,10755,1
2023-09-09,11561,1
2023-09-16,14405,1
2023-09-23,10935,1
2023-09-30,257,0
2023-10-07,14350,1
2023-10-14,11351,1
2023-10-21,11448,1
2023-10-28,10750,0
2023-11-04,3149,0
2023-11-11,12148,1
2023-11-18,727,0
2023-11-25,183,0
2023-12-02,11914,1
2023-12-09,9670,0
2023-12-16,15104,1
